"Model_Year";"Make";"Model";"Electric_Vehicle_Type";"Clean_Alternative_Fuel_Vehicle";"Electric_Range";"DOL_Vehicle_ID"
2013;"NISSAN";"LEAF";"Battery Electric Vehicle (BEV)";"Clean Alternative Fuel Vehicle Eligible";75;214384901
2019;"NISSAN";"LEAF";"Battery Electric Vehicle (BEV)";"Clean Alternative Fuel Vehicle Eligible";150;271008636
2020;"TESLA";"MODEL X";"Battery Electric Vehicle (BEV)";"Clean Alternative Fuel Vehicle Eligible";293;8781552
2019;"JAGUAR";"I-PACE";"Battery Electric Vehicle (BEV)";"Clean Alternative Fuel Vehicle Eligible";234;8308492
2011;"NISSAN";"LEAF";"Battery Electric Vehicle (BEV)";"Clean Alternative Fuel Vehicle Eligible";73;245524527
2018;"CHEVROLET";"VOLT";"Plug-in Hybrid Electric Vehicle (PHEV)";"Clean Alternative Fuel Vehicle Eligible";53;474699725
2019;"TESLA";"MODEL 3";"Battery Electric Vehicle (BEV)";"Clean Alternative Fuel Vehicle Eligible";220;241573384
2014;"FORD";"FUSION";"Plug-in Hybrid Electric Vehicle (PHEV)";"Not eligible due to low battery range";19;143101213
2019;"TESLA";"MODEL 3";"Battery Electric Vehicle (BEV)";"Clean Alternative Fuel Vehicle Eligible";220;209716587
2022;"JEEP";"WRANGLER";"Plug-in Hybrid Electric Vehicle (PHEV)";"Not eligible due to low battery range";21;205776434
2020;"TESLA";"MODEL S";"Battery Electric Vehicle (BEV)";"Clean Alternative Fuel Vehicle Eligible";330;234919562
2020;"TESLA";"MODEL Y";"Battery Electric Vehicle (BEV)";"Clean Alternative Fuel Vehicle Eligible";291;124338350
2018;"HONDA";"CLARITY";"Plug-in Hybrid Electric Vehicle (PHEV)";"Clean Alternative Fuel Vehicle Eligible";47;167134544
2013;"NISSAN";"LEAF";"Battery Electric Vehicle (BEV)";"Clean Alternative Fuel Vehicle Eligible";75;178419972
2020;"NISSAN";"LEAF";"Battery Electric Vehicle (BEV)";"Clean Alternative Fuel Vehicle Eligible";149;123583981
2019;"HYUNDAI";"IONIQ";"Battery Electric Vehicle (BEV)";"Not eligible due to low battery range";29;179814883
2018;"TESLA";"MODEL 3";"Battery Electric Vehicle (BEV)";"Clean Alternative Fuel Vehicle Eligible";215;192335944
2019;"TESLA";"MODEL 3";"Battery Electric Vehicle (BEV)";"Clean Alternative Fuel Vehicle Eligible";220;476385325
2022;"AUDI";"Q5";"Plug-in Hybrid Electric Vehicle (PHEV)";"Not eligible due to low battery range";23;202295537
2018;"TESLA";"MODEL 3";"Battery Electric Vehicle (BEV)";"Clean Alternative Fuel Vehicle Eligible";215;301171153
2017;"NISSAN";"LEAF";"Battery Electric Vehicle (BEV)";"Clean Alternative Fuel Vehicle Eligible";107;199305298
2019;"TESLA";"MODEL 3";"Battery Electric Vehicle (BEV)";"Clean Alternative Fuel Vehicle Eligible";220;118213070
2019;"KIA";"NIRO";"Battery Electric Vehicle (BEV)";"Clean Alternative Fuel Vehicle Eligible";239;5797200
2020;"HONDA";"CLARITY";"Plug-in Hybrid Electric Vehicle (PHEV)";"Clean Alternative Fuel Vehicle Eligible";47;147062534
2017;"TESLA";"MODEL X";"Battery Electric Vehicle (BEV)";"Clean Alternative Fuel Vehicle Eligible";200;162087971
2014;"TOYOTA";"RAV4";"Battery Electric Vehicle (BEV)";"Clean Alternative Fuel Vehicle Eligible";103;212053544
2012;"NISSAN";"LEAF";"Battery Electric Vehicle (BEV)";"Clean Alternative Fuel Vehicle Eligible";73;193763377
2016;"NISSAN";"LEAF";"Battery Electric Vehicle (BEV)";"Clean Alternative Fuel Vehicle Eligible";84;179546118
2019;"NISSAN";"LEAF";"Battery Electric Vehicle (BEV)";"Clean Alternative Fuel Vehicle Eligible";150;4753675
2020;"KIA";"NIRO";"Battery Electric Vehicle (BEV)";"Clean Alternative Fuel Vehicle Eligible";239;148879433
2017;"NISSAN";"LEAF";"Battery Electric Vehicle (BEV)";"Clean Alternative Fuel Vehicle Eligible";107;124670304
2013;"NISSAN";"LEAF";"Battery Electric Vehicle (BEV)";"Clean Alternative Fuel Vehicle Eligible";75;110528260
2015;"TESLA";"MODEL S";"Battery Electric Vehicle (BEV)";"Clean Alternative Fuel Vehicle Eligible";208;229176797
2019;"TESLA";"MODEL 3";"Battery Electric Vehicle (BEV)";"Clean Alternative Fuel Vehicle Eligible";220;211342183
2020;"TESLA";"MODEL 3";"Battery Electric Vehicle (BEV)";"Clean Alternative Fuel Vehicle Eligible";322;104235218
2014;"NISSAN";"LEAF";"Battery Electric Vehicle (BEV)";"Clean Alternative Fuel Vehicle Eligible";84;218686835
2019;"TESLA";"MODEL X";"Battery Electric Vehicle (BEV)";"Clean Alternative Fuel Vehicle Eligible";289;478749918
2018;"NISSAN";"LEAF";"Battery Electric Vehicle (BEV)";"Clean Alternative Fuel Vehicle Eligible";151;333297310
2020;"TESLA";"MODEL Y";"Battery Electric Vehicle (BEV)";"Clean Alternative Fuel Vehicle Eligible";291;110643508
2019;"TESLA";"MODEL S";"Battery Electric Vehicle (BEV)";"Clean Alternative Fuel Vehicle Eligible";270;474882180
2018;"TESLA";"MODEL 3";"Battery Electric Vehicle (BEV)";"Clean Alternative Fuel Vehicle Eligible";215;170582135
2017;"NISSAN";"LEAF";"Battery Electric Vehicle (BEV)";"Clean Alternative Fuel Vehicle Eligible";107;258342843
2020;"CHEVROLET";"BOLT EV";"Battery Electric Vehicle (BEV)";"Clean Alternative Fuel Vehicle Eligible";259;166075199
2014;"FORD";"C-MAX";"Plug-in Hybrid Electric Vehicle (PHEV)";"Not eligible due to low battery range";19;128553491
2013;"TESLA";"MODEL S";"Battery Electric Vehicle (BEV)";"Clean Alternative Fuel Vehicle Eligible";208;293019996
2018;"NISSAN";"LEAF";"Battery Electric Vehicle (BEV)";"Clean Alternative Fuel Vehicle Eligible";151;280293891
2020;"TESLA";"MODEL 3";"Battery Electric Vehicle (BEV)";"Clean Alternative Fuel Vehicle Eligible";266;2127142
2020;"TESLA";"MODEL 3";"Battery Electric Vehicle (BEV)";"Clean Alternative Fuel Vehicle Eligible";266;2254542
2019;"HYUNDAI";"IONIQ";"Battery Electric Vehicle (BEV)";"Clean Alternative Fuel Vehicle Eligible";124;167322298
2017;"FIAT";"500";"Battery Electric Vehicle (BEV)";"Clean Alternative Fuel Vehicle Eligible";84;100805771
2018;"BMW";"I3";"Battery Electric Vehicle (BEV)";"Clean Alternative Fuel Vehicle Eligible";114;289807101
2014;"CHEVROLET";"VOLT";"Plug-in Hybrid Electric Vehicle (PHEV)";"Clean Alternative Fuel Vehicle Eligible";38;142474272
2018;"TESLA";"MODEL 3";"Battery Electric Vehicle (BEV)";"Clean Alternative Fuel Vehicle Eligible";215;346738318
2018;"TESLA";"MODEL 3";"Battery Electric Vehicle (BEV)";"Clean Alternative Fuel Vehicle Eligible";215;475527244
2017;"BMW";"I3";"Battery Electric Vehicle (BEV)";"Clean Alternative Fuel Vehicle Eligible";81;204770275
2020;"TESLA";"MODEL X";"Battery Electric Vehicle (BEV)";"Clean Alternative Fuel Vehicle Eligible";289;2246226
2019;"TESLA";"MODEL X";"Battery Electric Vehicle (BEV)";"Clean Alternative Fuel Vehicle Eligible";289;333271011
2019;"TESLA";"MODEL 3";"Battery Electric Vehicle (BEV)";"Clean Alternative Fuel Vehicle Eligible";220;230784270
2017;"TESLA";"MODEL S";"Battery Electric Vehicle (BEV)";"Clean Alternative Fuel Vehicle Eligible";210;176192796
2020;"TESLA";"MODEL Y";"Battery Electric Vehicle (BEV)";"Clean Alternative Fuel Vehicle Eligible";291;118183523
2019;"NISSAN";"LEAF";"Battery Electric Vehicle (BEV)";"Clean Alternative Fuel Vehicle Eligible";150;235660589
2017;"NISSAN";"LEAF";"Battery Electric Vehicle (BEV)";"Clean Alternative Fuel Vehicle Eligible";107;186199730
2016;"TESLA";"MODEL X";"Battery Electric Vehicle (BEV)";"Clean Alternative Fuel Vehicle Eligible";200;249077650
2018;"TESLA";"MODEL 3";"Battery Electric Vehicle (BEV)";"Clean Alternative Fuel Vehicle Eligible";215;264444624
2017;"TESLA";"MODEL X";"Battery Electric Vehicle (BEV)";"Clean Alternative Fuel Vehicle Eligible";200;197947914
2017;"CHEVROLET";"BOLT EV";"Battery Electric Vehicle (BEV)";"Clean Alternative Fuel Vehicle Eligible";238;226016283
2017;"BMW";"X5";"Plug-in Hybrid Electric Vehicle (PHEV)";"Not eligible due to low battery range";14;127372570
2019;"TESLA";"MODEL 3";"Battery Electric Vehicle (BEV)";"Clean Alternative Fuel Vehicle Eligible";220;224254236
2014;"TESLA";"MODEL S";"Battery Electric Vehicle (BEV)";"Clean Alternative Fuel Vehicle Eligible";208;8444677
2019;"CHEVROLET";"BOLT EV";"Battery Electric Vehicle (BEV)";"Clean Alternative Fuel Vehicle Eligible";238;151504111
2016;"FORD";"FOCUS";"Battery Electric Vehicle (BEV)";"Clean Alternative Fuel Vehicle Eligible";76;348274244
2020;"TESLA";"MODEL 3";"Battery Electric Vehicle (BEV)";"Clean Alternative Fuel Vehicle Eligible";266;161335485
2015;"NISSAN";"LEAF";"Battery Electric Vehicle (BEV)";"Clean Alternative Fuel Vehicle Eligible";84;244078768
2021;"JEEP";"WRANGLER";"Plug-in Hybrid Electric Vehicle (PHEV)";"Not eligible due to low battery range";25;182674320
2015;"FORD";"FUSION";"Plug-in Hybrid Electric Vehicle (PHEV)";"Not eligible due to low battery range";19;349890761
2016;"KIA";"SOUL";"Battery Electric Vehicle (BEV)";"Clean Alternative Fuel Vehicle Eligible";93;303448575
2016;"VOLKSWAGEN";"E-GOLF";"Battery Electric Vehicle (BEV)";"Clean Alternative Fuel Vehicle Eligible";83;278608662
2018;"TESLA";"MODEL 3";"Battery Electric Vehicle (BEV)";"Clean Alternative Fuel Vehicle Eligible";215;474770243
2017;"TESLA";"MODEL S";"Battery Electric Vehicle (BEV)";"Clean Alternative Fuel Vehicle Eligible";210;9783490
2017;"CHEVROLET";"BOLT EV";"Battery Electric Vehicle (BEV)";"Clean Alternative Fuel Vehicle Eligible";238;104156608
2018;"TESLA";"MODEL 3";"Battery Electric Vehicle (BEV)";"Clean Alternative Fuel Vehicle Eligible";215;474533321
2013;"FORD";"C-MAX";"Plug-in Hybrid Electric Vehicle (PHEV)";"Not eligible due to low battery range";19;185904673
2013;"CHEVROLET";"VOLT";"Plug-in Hybrid Electric Vehicle (PHEV)";"Clean Alternative Fuel Vehicle Eligible";38;211965127
2013;"TESLA";"MODEL S";"Battery Electric Vehicle (BEV)";"Clean Alternative Fuel Vehicle Eligible";208;115380450
2015;"BMW";"I3";"Plug-in Hybrid Electric Vehicle (PHEV)";"Clean Alternative Fuel Vehicle Eligible";72;175251086
2015;"NISSAN";"LEAF";"Battery Electric Vehicle (BEV)";"Clean Alternative Fuel Vehicle Eligible";84;474789269
2013;"FORD";"FOCUS";"Battery Electric Vehicle (BEV)";"Clean Alternative Fuel Vehicle Eligible";76;140460813
2016;"NISSAN";"LEAF";"Battery Electric Vehicle (BEV)";"Clean Alternative Fuel Vehicle Eligible";84;122774900
2020;"TESLA";"MODEL 3";"Battery Electric Vehicle (BEV)";"Clean Alternative Fuel Vehicle Eligible";322;101894761
2020;"TESLA";"MODEL 3";"Battery Electric Vehicle (BEV)";"Clean Alternative Fuel Vehicle Eligible";308;3016996
2017;"CHEVROLET";"VOLT";"Plug-in Hybrid Electric Vehicle (PHEV)";"Clean Alternative Fuel Vehicle Eligible";53;132986605
2019;"TESLA";"MODEL X";"Battery Electric Vehicle (BEV)";"Clean Alternative Fuel Vehicle Eligible";289;5001370
2016;"NISSAN";"LEAF";"Battery Electric Vehicle (BEV)";"Clean Alternative Fuel Vehicle Eligible";84;35325
2018;"BMW";"X5";"Plug-in Hybrid Electric Vehicle (PHEV)";"Not eligible due to low battery range";13;153996167
2015;"TESLA";"MODEL S";"Battery Electric Vehicle (BEV)";"Clean Alternative Fuel Vehicle Eligible";208;7821215
2018;"TESLA";"MODEL S";"Battery Electric Vehicle (BEV)";"Clean Alternative Fuel Vehicle Eligible";249;285304512
2016;"CADILLAC";"ELR";"Plug-in Hybrid Electric Vehicle (PHEV)";"Clean Alternative Fuel Vehicle Eligible";40;161629142
2013;"FORD";"FUSION";"Plug-in Hybrid Electric Vehicle (PHEV)";"Not eligible due to low battery range";19;104947160
2015;"NISSAN";"LEAF";"Battery Electric Vehicle (BEV)";"Clean Alternative Fuel Vehicle Eligible";84;117975602
2018;"TESLA";"MODEL 3";"Battery Electric Vehicle (BEV)";"Clean Alternative Fuel Vehicle Eligible";215;266667950
2018;"TESLA";"MODEL X";"Battery Electric Vehicle (BEV)";"Clean Alternative Fuel Vehicle Eligible";238;107384441
2014;"NISSAN";"LEAF";"Battery Electric Vehicle (BEV)";"Clean Alternative Fuel Vehicle Eligible";84;197857824
2017;"NISSAN";"LEAF";"Battery Electric Vehicle (BEV)";"Clean Alternative Fuel Vehicle Eligible";107;126141508
2023;"BMW";"X5";"Plug-in Hybrid Electric Vehicle (PHEV)";"Clean Alternative Fuel Vehicle Eligible";30;230965906
2020;"BMW";"I3";"Battery Electric Vehicle (BEV)";"Clean Alternative Fuel Vehicle Eligible";153;132150504
2012;"NISSAN";"LEAF";"Battery Electric Vehicle (BEV)";"Clean Alternative Fuel Vehicle Eligible";73;156580469
2020;"CHEVROLET";"BOLT EV";"Battery Electric Vehicle (BEV)";"Clean Alternative Fuel Vehicle Eligible";259;9967184
2016;"BMW";"I3";"Plug-in Hybrid Electric Vehicle (PHEV)";"Clean Alternative Fuel Vehicle Eligible";72;217438056
2018;"TESLA";"MODEL S";"Battery Electric Vehicle (BEV)";"Clean Alternative Fuel Vehicle Eligible";249;8160967
2019;"BMW";"I3";"Battery Electric Vehicle (BEV)";"Clean Alternative Fuel Vehicle Eligible";153;207098538
2012;"NISSAN";"LEAF";"Battery Electric Vehicle (BEV)";"Clean Alternative Fuel Vehicle Eligible";73;137251712
2016;"TESLA";"MODEL X";"Battery Electric Vehicle (BEV)";"Clean Alternative Fuel Vehicle Eligible";200;114693372
2018;"TESLA";"MODEL 3";"Battery Electric Vehicle (BEV)";"Clean Alternative Fuel Vehicle Eligible";215;474530486
2021;"POLESTAR";"PS2";"Battery Electric Vehicle (BEV)";"Clean Alternative Fuel Vehicle Eligible";233;175416601
